11108,晒缯涌站	2211,大东门(中山三路)站2 
11476,东深天益村站	2211,大东门(中山三路)站2 
11470,甘岗村站	2211,大东门(中山三路)站2 
11466,滨海花园站	2211,大东门(中山三路)站2 
11451,盛泰花园站	2211,大东门(中山三路)站2 
11446,官涌村站	2211,大东门(中山三路)站2 
11444,新村站	2211,大东门(中山三路)站2 
11441,沙尾村站	2211,大东门(中山三路)站2 
11438,官桥新村站	2211,大东门(中山三路)站2 
11433,东盛路站	2211,大东门(中山三路)站2 
11431,旧水坑中心街站	2211,大东门(中山三路)站2 
12363,民营工业园(增城)站	2211,大东门(中山三路)站2 
12259,八哥村站	2211,大东门(中山三路)站2 
12166,东晖路东	2211,大东门(中山三路)站2 
12145,容桂汽车站	2211,大东门(中山三路)站2 
12120,观龙桥脚站	2211,大东门(中山三路)站2 
12114,莲花山车站	2211,大东门(中山三路)站2 
12076,湴湄村站	2211,大东门(中山三路)站2 
12075,绿村村委站	2211,大东门(中山三路)站2 
12073,镇泰厂站	2211,大东门(中山三路)站2 
12071,榄核涌站	2211,大东门(中山三路)站2 
12070,榄核派出所站	2211,大东门(中山三路)站2 
12069,沙湾涌站	2211,大东门(中山三路)站2 
12068,墩塘村站	2211,大东门(中山三路)站2 
12840,荔红路(萝岗中医院)站	2211,大东门(中山三路)站2 
12836,岑村新南街站	2211,大东门(中山三路)站2 
12826,沥心沙收费站	2211,大东门(中山三路)站2 
12823,榄塘村站	2211,大东门(中山三路)站2 
12819,留耕堂站	2211,大东门(中山三路)站2 
12817,象贤中学站	2211,大东门(中山三路)站2 
12815,沙湾东村站	2211,大东门(中山三路)站2 
12813,祈福水城站	2211,大东门(中山三路)站2 
12787,广珠路碧江站	2211,大东门(中山三路)站2 
12726,南翔二路东站	2211,大东门(中山三路)站2 
12655,华师生活区站	2211,大东门(中山三路)站2 
12487,地玄村站	2211,大东门(中山三路)站2 
12480,东线路北站	2211,大东门(中山三路)站2 
12471,峻新路口站	2211,大东门(中山三路)站2 
12456,华侨城北门站	2211,大东门(中山三路)站2 
12446,甘棠村站	2211,大东门(中山三路)站2 
12811,雅居乐锦官城站	2211,大东门(中山三路)站2 
12800,上佳市站	2211,大东门(中山三路)站2 
12798,容山书院站	2211,大东门(中山三路)站2 
12796,新球医院站	2211,大东门(中山三路)站2 
12793,大良交警中队站	2211,大东门(中山三路)站2 
12792,林头西站	2211,大东门(中山三路)站2 
12789,顺联广场站	2211,大东门(中山三路)站2 
12732,南云五路口站	2211,大东门(中山三路)站2 
11400,三善中村站	2211,大东门(中山三路)站2 
11429,旧水坑派出所(旧村西路)站	2211,大东门(中山三路)站2 
11425,凌边村委站	2211,大东门(中山三路)站2 
11421,龙美村(迎新路)站	2211,大东门(中山三路)站2 
11420,东沙村站	2211,大东门(中山三路)站2 
11413,长沙路站	2211,大东门(中山三路)站2 
11412,区公汽东门站	2211,大东门(中山三路)站2 
11411,前锋工业区站	2211,大东门(中山三路)站2 
11404,古东工业区站	2211,大东门(中山三路)站2 
11403,象俊中学站	2211,大东门(中山三路)站2 
6295,碑记街口站	2211,大东门(中山三路)站2 
6290,姜洞村站	2211,大东门(中山三路)站2 
4904,荷棠下村站	2211,大东门(中山三路)站2 
4898,荷光路中站	2211,大东门(中山三路)站2 
4897,荷光路中站	2211,大东门(中山三路)站2 
4896,荷光路站	2211,大东门(中山三路)站2 
4895,荷光路站	2211,大东门(中山三路)站2 
4894,荷光路口总站	2211,大东门(中山三路)站2 
4889,河水东大街站	2211,大东门(中山三路)站2 
4888,河水东大街站	2211,大东门(中山三路)站2 
4887,河水东大街口总站	2211,大东门(中山三路)站2 
4886,河水大街站	2211,大东门(中山三路)站2 
4885,河水大街站	2211,大东门(中山三路)站2 
4856,禾丰路中站	2211,大东门(中山三路)站2 
4853,禾丰二纵路口站	2211,大东门(中山三路)站2 
4850,禾丰村站	2211,大东门(中山三路)站2 
12730,南翔三路站	2211,大东门(中山三路)站2 
12728,南云四路站	2211,大东门(中山三路)站2 
12724,南翔二路中站	2211,大东门(中山三路)站2 
12626,大涵小学站	2211,大东门(中山三路)站2 
12484,东盛路中站	2211,大东门(中山三路)站2 
12483,蔗山村口站	2211,大东门(中山三路)站2 
12478,金山村委总站	2211,大东门(中山三路)站2 
12440,永和崇和花园	2211,大东门(中山三路)站2 
20072,机场南	2211,大东门(中山三路)站2 
20014,人和	2211,大东门(中山三路)站2 
12646,亭角大桥北站	2211,大东门(中山三路)站2 
12628,石龙头总站	2211,大东门(中山三路)站2 
12627,大涵小学站	2211,大东门(中山三路)站2 
12624,大涵村委站	2211,大东门(中山三路)站2 
20038,嘉禾望岗	2211,大东门(中山三路)站2 
20144,龙归	2211,大东门(中山三路)站2 
12578,南洲北路(好信广场) 站	2211,大东门(中山三路)站2 
20102,白云大道北	2211,大东门(中山三路)站2 
20025,凤凰新村	2211,大东门(中山三路)站2 
20064,文冲	2211,大东门(中山三路)站2 
20044,大沙东	2211,大东门(中山三路)站2 
20045,大沙地	2211,大东门(中山三路)站2 
20136,鱼珠	2211,大东门(中山三路)站2 
20004,三溪	2211,大东门(中山三路)站2 
20005,东圃	2211,大东门(中山三路)站2 
20128,车陂南	2211,大东门(中山三路)站2 
20109,科韵路	2211,大东门(中山三路)站2 
20036,员村	2211,大东门(中山三路)站2 
20096,猎德	2211,大东门(中山三路)站2 
11939,张松村桥站	2211,大东门(中山三路)站2 
11938,张松工业区站	2211,大东门(中山三路)站2 
11937,良地埠站	2211,大东门(中山三路)站2 
11936,新涌村委站	2211,大东门(中山三路)站2 
11935,镇泰厂站	2211,大东门(中山三路)站2 
11932,太石村南沙大道站	2211,大东门(中山三路)站2 
11930,小鸟桥站	2211,大东门(中山三路)站2 
20093,潭村	2211,大东门(中山三路)站2 
20098,珠江新城	2211,大东门(中山三路)站2 
20012,五羊邨	2211,大东门(中山三路)站2 
20074,杨箕	2211,大东门(中山三路)站2 
20026,动物园	2211,大东门(中山三路)站2 
20027,区庄	2211,大东门(中山三路)站2 
20091,淘金	2211,大东门(中山三路)站2 
20055,小北	2211,大东门(中山三路)站2 
20120,西村	2211,大东门(中山三路)站2 
11908,番禺会议中心站	2211,大东门(中山三路)站2 
11906,复苏站	2211,大东门(中山三路)站2 
11902,官桥村站	2211,大东门(中山三路)站2 
11901,柏堂村站	2211,大东门(中山三路)站2 
11897,旧水坑村尾站	2211,大东门(中山三路)站2 
11896,美食广场南门站	2211,大东门(中山三路)站2 
11894,榕林路口站	2211,大东门(中山三路)站2 
11890,凌边十队站	2211,大东门(中山三路)站2 
11887,文边总站	2211,大东门(中山三路)站2 
11884,旧水坑村委站	2211,大东门(中山三路)站2 
11880,富豪山庄总站	2211,大东门(中山三路)站2 
11879,区工商局站	2211,大东门(中山三路)站2 
11876,恒升工业园站	2211,大东门(中山三路)站2 
11875,石基四中站	2211,大东门(中山三路)站2 
11874,前锋工业区站	2211,大东门(中山三路)站2 
11873,捷达莱堡厂站	2211,大东门(中山三路)站2 
11872,低涌村委站	2211,大东门(中山三路)站2 
11868,草河村委站	2211,大东门(中山三路)站2 
11861,古坝电影院站	2211,大东门(中山三路)站2 
11860,龙湾村站	2211,大东门(中山三路)站2 
11858,理工学院站	2211,大东门(中山三路)站2 
11856,磷肥厂站	2211,大东门(中山三路)站2 
11855,青峰气站	2211,大东门(中山三路)站2 
11854,大罗村(银平路)站	2211,大东门(中山三路)站2 
11853,银平路站	2211,大东门(中山三路)站2 
11850,南快桥站	2211,大东门(中山三路)站2 
20063,广州火车站	2211,大东门(中山三路)站2 
20117,西场	2211,大东门(中山三路)站2 
20010,中山八	2211,大东门(中山三路)站2 
20040,坦尾	2211,大东门(中山三路)站2 
20092,滘口	2211,大东门(中山三路)站2 
20139,黄村	2211,大东门(中山三路)站2 
20126,车陂	2211,大东门(中山三路)站2 
20127,车陂南	2211,大东门(中山三路)站2 
20001,万胜围	2211,大东门(中山三路)站2 
20051,官洲	2211,大东门(中山三路)站2 
20066,新造	2211,大东门(中山三路)站2 
20043,大学城南	2211,大东门(中山三路)站2 
20042,大学城北	2211,大东门(中山三路)站2 
20106,石碁	2211,大东门(中山三路)站2 
20088,海傍	2211,大东门(中山三路)站2 
20016,低涌	2211,大东门(中山三路)站2 
11821,国防技校站	2211,大东门(中山三路)站2 
11820,国防技校站	2211,大东门(中山三路)站2 
11818,墩塘桥站	2211,大东门(中山三路)站2 
20008,东涌	2211,大东门(中山三路)站2 
20143,黄阁汽车城	2211,大东门(中山三路)站2 
20116,蕉门	2211,大东门(中山三路)站2 
20142,黄阁	2211,大东门(中山三路)站2 
20129,金洲	2211,大东门(中山三路)站2 
20048,天河客运站	2211,大东门(中山三路)站2 
20011,五山	2211,大东门(中山三路)站2 
11793,禺秀园站	2211,大东门(中山三路)站2 
11790,三德路口站	2211,大东门(中山三路)站2 
11789,深沙村站	2211,大东门(中山三路)站2 
11786,同乐村站	2211,大东门(中山三路)站2 
11781,潭山村站	2211,大东门(中山三路)站2 
11779,西山村站	2211,大东门(中山三路)站2 
11778,应塘坊站	2211,大东门(中山三路)站2 
11777,化龙公园站	2211,大东门(中山三路)站2 
11775,颐养院站	2211,大东门(中山三路)站2 
11758,星域动漫科技城站	2211,大东门(中山三路)站2 
11756,东沙村站	2211,大东门(中山三路)站2 
3153,太平洋工业区站	2211,大东门(中山三路)站2 
20017,体育中心	2211,大东门(中山三路)站2 
20073,杨箕	2211,大东门(中山三路)站2 
20019,体育西路	2211,大东门(中山三路)站2 
57,志诚大道东站	2211,大东门(中山三路)站2 
56,纸厂总站①	2211,大东门(中山三路)站2 
20006,东山口	2211,大东门(中山三路)站2 
21,孖塘站	2211,大东门(中山三路)站2 
17,庄埔路口站	2211,大东门(中山三路)站2 
16,庄埔路口站	2211,大东门(中山三路)站2 
5,竹料总站②	2211,大东门(中山三路)站2 
20094,烈士陵园	2211,大东门(中山三路)站2 
20024,农讲所	2211,大东门(中山三路)站2 
1570,镇龙邮局站	2211,大东门(中山三路)站2 
1569,镇龙邮局站	2211,大东门(中山三路)站2 
1567,镇龙医院站	2211,大东门(中山三路)站2 
1565,镇龙一中站	2211,大东门(中山三路)站2 
1563,镇龙墟站	2211,大东门(中山三路)站2 
1562,镇龙水厂站	2211,大东门(中山三路)站2 
20022,公园前	2211,大东门(中山三路)站2 
20121,西门口	2211,大东门(中山三路)站2 
193,珠江村站	2211,大东门(中山三路)站2 
192,珠江村站	2211,大东门(中山三路)站2 
20140,黄沙	2211,大东门(中山三路)站2 
20131,长寿路	2211,大东门(中山三路)站2 
20132,陈家祠	2211,大东门(中山三路)站2 
20113,芳村	2211,大东门(中山三路)站2 
174,珠村站	2211,大东门(中山三路)站2 
20111,花地湾	2211,大东门(中山三路)站2 
2763,枫下二社站	2211,大东门(中山三路)站2 
2762,枫下二社站	2211,大东门(中山三路)站2 
2761,枫下村口站	2211,大东门(中山三路)站2 
2759,枫下村北站	2211,大东门(中山三路)站2 
2758,枫下村北站	2211,大东门(中山三路)站2 
20039,坑口	2211,大东门(中山三路)站2 
20118,西朗	2211,大东门(中山三路)站2 
12842,石基二中	2211,大东门(中山三路)站2 
12843,石基二中	2211,大东门(中山三路)站2 
12845,石基二中	2211,大东门(中山三路)站2 
12846,石基二中	2211,大东门(中山三路)站2 
12847,石基二中	2211,大东门(中山三路)站2 
20080,永泰	2211,大东门(中山三路)站2 
20034,同和	2211,大东门(中山三路)站2 
20013,京溪南方医院	2211,大东门(中山三路)站2 
20078,梅花园	2211,大东门(中山三路)站2 
20095,燕塘	2211,大东门(中山三路)站2 
12457,北海村水果批发市场	2211,大东门(中山三路)站2 
11754,长坦村口站	2211,大东门(中山三路)站2 
11753,长坦总站	2211,大东门(中山三路)站2 
11752,海傍桥站	2211,大东门(中山三路)站2 
11744,西村工业区站	2211,大东门(中山三路)站2 
11742,古东牌坊站	2211,大东门(中山三路)站2 
11735,大刀沙村委站	2211,大东门(中山三路)站2 
20029,华师	2211,大东门(中山三路)站2 
20056,岗顶	2211,大东门(中山三路)站2 
20105,石牌桥	2211,大东门(中山三路)站2 
20020,体育西路	2211,大东门(中山三路)站2 
20097,珠江新城	2211,大东门(中山三路)站2 
20123,赤岗塔	2211,大东门(中山三路)站2 
20053,客村	2211,大东门(中山三路)站2 
20041,大塘	2211,大东门(中山三路)站2 
20086,沥滘	2211,大东门(中山三路)站2 
20033,厦滘	2211,大东门(中山三路)站2 
11718,大生村委站	2211,大东门(中山三路)站2 
11716,张松村桥站	2211,大东门(中山三路)站2 
11715,张松工业区站	2211,大东门(中山三路)站2 
11712,榄核成校站	2211,大东门(中山三路)站2 
11710,顺河路口站	2211,大东门(中山三路)站2 
11709,墩塘工业区站	2211,大东门(中山三路)站2 
11708,大简中桥站	2211,大东门(中山三路)站2 
11707,马克路口站	2211,大东门(中山三路)站2 
20046,大石	2211,大东门(中山三路)站2 
11702,甘岗村站	2211,大东门(中山三路)站2 
20081,汉溪长隆	2211,大东门(中山三路)站2 
20058,市桥	2211,大东门(中山三路)站2 
20100,番禺广场	2211,大东门(中山三路)站2 
20037,嘉禾望岗	2211,大东门(中山三路)站2 
20141,黄边	2211,大东门(中山三路)站2 
20083,江夏	2211,大东门(中山三路)站2 
20115,萧岗	2211,大东门(中山三路)站2 
20103,白云文化广场	2211,大东门(中山三路)站2 
20101,白云公园	2211,大东门(中山三路)站2 
20134,飞翔公园	2211,大东门(中山三路)站2 
20003,三元里	2211,大东门(中山三路)站2 
20062,广州火车站	2211,大东门(中山三路)站2 
20125,越秀公园	2211,大东门(中山三路)站2 
3548,明星村委站	2211,大东门(中山三路)站2 
3546,明星村口站	2211,大东门(中山三路)站2 
3544,明泉街站	2211,大东门(中山三路)站2 
20110,纪念堂	2211,大东门(中山三路)站2 
20090,海珠广场	2211,大东门(中山三路)站2 
5746,金水里西站	2211,大东门(中山三路)站2 
5745,金水里西站	2211,大东门(中山三路)站2 
5744,金水里东站	2211,大东门(中山三路)站2 
5743,金水里东站	2211,大东门(中山三路)站2 
10694,鹤泰路中站	2211,大东门(中山三路)站2 
20023,公园前	2211,大东门(中山三路)站2 
20057,市二宫	2211,大东门(中山三路)站2 
20082,江南西	2211,大东门(中山三路)站2 
20067,昌岗	2211,大东门(中山三路)站2 
20007,东晓南	2211,大东门(中山三路)站2 
3212,棠下村站	2211,大东门(中山三路)站2 
3209,棠下村口站	2211,大东门(中山三路)站2 
20084,江泰路	2211,大东门(中山三路)站2 
20031,南洲	2211,大东门(中山三路)站2 
20087,洛溪	2211,大东门(中山三路)站2 
3191,棠东站	2211,大东门(中山三路)站2 
3190,棠东站	2211,大东门(中山三路)站2 
20032,南浦	2211,大东门(中山三路)站2 
20015,会江	2211,大东门(中山三路)站2 
20104,石壁	2211,大东门(中山三路)站2 
20061,广州南站	2211,大东门(中山三路)站2 
20059,广州东站	2211,大东门(中山三路)站2 
12444,番禺奥林匹克花园站	2211,大东门(中山三路)站2 
20060,广州东站	2211,大东门(中山三路)站2 
20076,林和西	2211,大东门(中山三路)站2 
12562,广大麓湖雕塑公园总站	2211,大东门(中山三路)站2 
20021,体育西路	2211,大东门(中山三路)站2 
20075,林和西	2211,大东门(中山三路)站2 
20018,体育中心南	2211,大东门(中山三路)站2 
20047,天河南	2211,大东门(中山三路)站2 
20138,黄埔大道	2211,大东门(中山三路)站2 
20112,花城大道	2211,大东门(中山三路)站2 
20049,妇儿中心	2211,大东门(中山三路)站2 
20079,歌剧院	2211,大东门(中山三路)站2 
20089,海心沙	2211,大东门(中山三路)站2 
20124,赤岗塔	2211,大东门(中山三路)站2 
20135,魁奇路	2211,大东门(中山三路)站2 
20050,季华园	2211,大东门(中山三路)站2 
20035,同济路	2211,大东门(中山三路)站2 
20108,祖庙	2211,大东门(中山三路)站2 
20070,普君北路	2211,大东门(中山三路)站2 
20071,朝安	2211,大东门(中山三路)站2 
20077,桂城	2211,大东门(中山三路)站2 
20030,南桂路	2211,大东门(中山三路)站2 
20133,雷岗	2211,大东门(中山三路)站2 
20028,千灯湖	2211,大东门(中山三路)站2 
20130,金融高新区	2211,大东门(中山三路)站2 
20145,龙溪	2211,大东门(中山三路)站2 
20114,菊树	2211,大东门(中山三路)站2 
20002,万胜围	2211,大东门(中山三路)站2 
12488,沙滘站	2211,大东门(中山三路)站2 
12485,尚上名筑站	2211,大东门(中山三路)站2 
12479,白岗村站	2211,大东门(中山三路)站2 
12477,白岗村站	2211,大东门(中山三路)站2 
12476,东线路北站	2211,大东门(中山三路)站2 
12475,东线路南站	2211,大东门(中山三路)站2 
12474,东盛路北站	2211,大东门(中山三路)站2 
12473,蔗山村口站	2211,大东门(中山三路)站2 
12472,东盛路中站	2211,大东门(中山三路)站2 
12470,省妇幼保健院站	2211,大东门(中山三路)站2 
12448,蔡二新村(番禺大道北)站	2211,大东门(中山三路)站2 
12447,蔡边村(番禺大道北)站	2211,大东门(中山三路)站2 
12445,皇冠音响厂站	2211,大东门(中山三路)站2 
20119,西朗	2211,大东门(中山三路)站2 
20099,琶洲	2211,大东门(中山三路)站2 
20065,新港东	2211,大东门(中山三路)站2 
20107,磨碟沙	2211,大东门(中山三路)站2 
12625,大涵村委站	2211,大东门(中山三路)站2 
20122,赤岗	2211,大东门(中山三路)站2 
12612,萝峰村口站	2211,大东门(中山三路)站2 
12552,中山纪念堂总站	2211,大东门(中山三路)站2 
20054,客村	2211,大东门(中山三路)站2 
20137,鹭江	2211,大东门(中山三路)站2 
20009,中大	2211,大东门(中山三路)站2 
20069,晓港	2211,大东门(中山三路)站2 
20068,昌岗	2211,大东门(中山三路)站2 
20085,沙园	2211,大东门(中山三路)站2 
20052,宝岗大道	2211,大东门(中山三路)站2 
12486,江兴村站	2211,大东门(中山三路)站2 
12482,东盛路北站	2211,大东门(中山三路)站2 
12481,东线路南站	2211,大东门(中山三路)站2 
2218,大干围北站	2716,芳村客运站2 
2213,大汾田公路口站	2716,芳村客运站2 
2212,大汾田公路口站	2716,芳村客运站2 
2185,春晖五街站	2716,芳村客运站2 
2184,春晖四街站	2716,芳村客运站2 
826,新村大街二巷站	2716,芳村客运站2 
824,新安路站	2716,芳村客运站2 
823,新安路站	2716,芳村客运站2 
818,辛庄站	2716,芳村客运站2 
817,辛庄站	2716,芳村客运站2 
763,小塱村口站	2716,芳村客运站2 
758,小迳路口站	2716,芳村客运站2 
1264,友谊路口站	2716,芳村客运站2 
1257,邮政物流中心站	2716,芳村客运站2 
1256,邮政物流中心站A	2716,芳村客运站2 
1230,永顺大道东站	2716,芳村客运站2 
1226,永和综合楼站	2716,芳村客运站2 
1220,永和开发区(禾丰新村)总站	2716,芳村客运站2 
1214,永和(木古村)站	2716,芳村客运站2 
2734,飞鹅村站	2716,芳村客运站2 
2726,芳村西塱总站④	2716,芳村客运站2 
2694,番禺大桥底站	2716,芳村客运站2 
2664,笃学路口站	2716,芳村客运站2 
2663,斗塘路站	2716,芳村客运站2 
2662,斗塘路站	2716,芳村客运站2 
2661,斗塘路西站	2716,芳村客运站2 
2660,斗塘路西站	2716,芳村客运站2 
2657,动物园总站1②a	2716,芳村客运站2 
2642,东苑小区站	2716,芳村客运站2 
2620,东四路南站	2716,芳村客运站2 
2618,东四路北站	2716,芳村客运站2 
2578,东圃镇站	2716,芳村客运站2 
2571,东圃客运站	2716,芳村客运站2 
2570,东圃客运站	2716,芳村客运站2 
2569,东圃二马路站	2716,芳村客运站2 
2568,东圃二马路站	2716,芳村客运站2 
2567,东圃大马路站	2716,芳村客运站2 
2315,大坦居委站	2716,芳村客运站2 
2314,大坦居委站	2716,芳村客运站2 
2286,大埔南一街站	2716,芳村客运站2 
2285,大埔南二街站	2716,芳村客运站2 
2283,大埔东街站	2716,芳村客运站2 
2274,大龙头村站	2716,芳村客运站2 
2272,大岭南路站	2716,芳村客运站2 
2246,大迳村站	2716,芳村客运站2 
2245,大迳村站	2716,芳村客运站2 
2220,大干围中站	2716,芳村客运站2 
1360,员村生活区(市六医院)总站	2716,芳村客运站2 
1336,园夏村南站	2716,芳村客运站2 
1335,园夏村南站	2716,芳村客运站2 
1124,医药中专站	2716,芳村客运站2 
1107,叶边村站	2716,芳村客运站2 
1090,摇田大街站	2716,芳村客运站2 
1087,洋田塘口站	2716,芳村客运站2 
1084,洋田村站	2716,芳村客运站2 
1062,羊城花园站(楼巴士)	2716,芳村客运站2 
890,新南大街口站	2716,芳村客运站2 
834,新丰路口站	2716,芳村客运站2 
833,新丰路口站	2716,芳村客运站2 
827,新村大街站	2716,芳村客运站2 
596,西岭路口站	2716,芳村客运站2 
586,西街中站	2716,芳村客运站2 
577,西华路尾总站①	2716,芳村客运站2 
515,乌冲站	2716,芳村客运站2 
514,乌冲站	2716,芳村客运站2 
491,文船生活区东区站	2716,芳村客运站2 
477,望岗小学站	2716,芳村客运站2 
436,外商活动中心站	2716,芳村客运站2 
435,外商活动中心站	2716,芳村客运站2 
421,头陂村委站	2716,芳村客运站2 
717,祥岗社区站	2716,芳村客运站2 
715,祥岗后街站	2716,芳村客运站2 
712,香雪小学站	2716,芳村客运站2 
688,贤江路站	2716,芳村客运站2 
687,贤江路站	2716,芳村客运站2 
686,贤江村站	2716,芳村客运站2 
685,贤江村站	2716,芳村客运站2 
670,夏园站	2716,芳村客运站2 
640,下南路口站	2716,芳村客运站2 
627,西洲北路尾总站	2716,芳村客运站2 
626,西洲北路(增槎路口)总站	2716,芳村客运站2 
1561,镇龙水厂站	2716,芳村客运站2 
1558,镇龙二中站	2716,芳村客运站2 
1557,镇龙二中站	2716,芳村客运站2 
1544,长洲街办站	2716,芳村客运站2 
1542,长洲岛小学站	2716,芳村客运站2 
1408,云安路站	2716,芳村客运站2 
1406,云安路北站	2716,芳村客运站2 
1379,员工大厦站	2716,芳村客运站2 
4201,沙浦站	2716,芳村客运站2 
4200,沙浦站	2716,芳村客运站2 
327,天朗明居站	2716,芳村客运站2 
3538,民强村站	2716,芳村客运站2 
3531,庙头站	2716,芳村客运站2 
3530,庙头站	2716,芳村客运站2 
3517,米龙小学站	2716,芳村客运站2 
3511,门口岗总站	2716,芳村客运站2 
4154,沙步小学站	2716,芳村客运站2 
4151,沙步五横路站	2716,芳村客运站2 
4148,沙步二横路站	2716,芳村客运站2 
4146,沙步村委站	2716,芳村客运站2 
4140,森语大街路口站	2716,芳村客运站2 
4139,森语大街路口站	2716,芳村客运站2 
369,田心路口站	2716,芳村客运站2 
366,田心村站	2716,芳村客运站2 
328,天朗明居站	2716,芳村客运站2 
3263,桃园中路站	2716,芳村客运站2 
3262,桃园中路站	2716,芳村客运站2 
3259,桃园西路北站	2716,芳村客运站2 
3258,桃园西路北站	2716,芳村客运站2 
3255,桃石路站	2716,芳村客运站2 
3254,桃石路站	2716,芳村客运站2 
3245,塘山村西站	2716,芳村客运站2 
3243,塘山村敬老院站	2716,芳村客运站2 
4656,荔香路南站	2716,芳村客运站2 
4648,荔联街道办站	2716,芳村客运站2 
1330,元新街站	2716,芳村客运站2 
1313,元贝桥站	2716,芳村客运站2 
1307,育英路站	2716,芳村客运站2 
5640,蕉门河社区服务中心站	2716,芳村客运站2 
5639,蕉门河社区服务中心站	2716,芳村客运站2 
5617,江晓路(晓港湾)站	2716,芳村客运站2 
5616,江夏西头大街站	2716,芳村客运站2 
5615,江夏西头大街站	2716,芳村客运站2 
5614,江夏锁厂站	2716,芳村客运站2 
5613,江夏锁厂站	2716,芳村客运站2 
5612,江夏牌坊总站	2716,芳村客运站2 
5611,江夏九社站	2716,芳村客运站2 
5610,江夏九社站	2716,芳村客运站2 
5609,江夏大塘大街站	2716,芳村客运站2 
5608,江夏大塘大街站	2716,芳村客运站2 
5606,江夏北一路站	2716,芳村客运站2 
5605,江夏北一路站	2716,芳村客运站2 
