938,新业路口站	1037,雅瑶镇医院站 
12040,屏一村站	1037,雅瑶镇医院站 
12039,顺德碧桂园站	1037,雅瑶镇医院站 
12038,东乡联发工业区站	1037,雅瑶镇医院站 
12036,龙祥路口站	1037,雅瑶镇医院站 
12035,水门村站	1037,雅瑶镇医院站 
12034,水门村站	1037,雅瑶镇医院站 
12021,化龙车站	1037,雅瑶镇医院站 
12020,盛龙社区总站	1037,雅瑶镇医院站 
12019,广汽生活区站	1037,雅瑶镇医院站 
12016,海心村站	1037,雅瑶镇医院站 
12014,明经村站	1037,雅瑶镇医院站 
12013,爱莲村站	1037,雅瑶镇医院站 
12012,山门村站	1037,雅瑶镇医院站 
12011,下山门村站	1037,雅瑶镇医院站 
12010,下山门村站	1037,雅瑶镇医院站 
12009,桥福园(东环路)站	1037,雅瑶镇医院站 
12007,谭边村站	1037,雅瑶镇医院站 
12005,竹山工业区站	1037,雅瑶镇医院站 
12004,竹山村站	1037,雅瑶镇医院站 
12002,桥山村站	1037,雅瑶镇医院站 
12001,大龙路口站	1037,雅瑶镇医院站 
12000,眉山工业区站	1037,雅瑶镇医院站 
11994,星海青少宫站	1037,雅瑶镇医院站 
11992,市桥医院(西环路)站	1037,雅瑶镇医院站 
11991,环市西环路站	1037,雅瑶镇医院站 
11990,三其大街站	1037,雅瑶镇医院站 
11989,前锋路站	1037,雅瑶镇医院站 
11988,前锋村委站	1037,雅瑶镇医院站 
11987,前锋村委站	1037,雅瑶镇医院站 
11986,低涌村委站	1037,雅瑶镇医院站 
11985,北斗桥底站	1037,雅瑶镇医院站 
11983,石基文化广场站	1037,雅瑶镇医院站 
11982,茶东村(富怡路)站	1037,雅瑶镇医院站 
11981,富怡路中站	1037,雅瑶镇医院站 
12366,新塘供电所站	1037,雅瑶镇医院站 
12234,华润涂料捷信厂站	1037,雅瑶镇医院站 
12407,螺旋大道西站	1037,雅瑶镇医院站 
12212,五沙小学站	1037,雅瑶镇医院站 
12404,星岛环北路(螺旋二路路口)站	1037,雅瑶镇医院站 
12261,黄麻社区居委会	1037,雅瑶镇医院站 
12206,金沙人家站	1037,雅瑶镇医院站 
12236,丰田合成配件厂站	1037,雅瑶镇医院站 
12260,八哥村站	1037,雅瑶镇医院站 
12405,螺旋四路(标一企业)站	1037,雅瑶镇医院站 
12252,心和村站	1037,雅瑶镇医院站 
12250,南村站	1037,雅瑶镇医院站 
12369,荔新路口站	1037,雅瑶镇医院站 
12365,铁路桥站	1037,雅瑶镇医院站 
2888,高增村站	1037,雅瑶镇医院站 
2876,港讯小区站	1037,雅瑶镇医院站 
2875,港湾一村站	1037,雅瑶镇医院站 
2874,港湾一村站	1037,雅瑶镇医院站 
1603,广州火车东站总站②a	1037,雅瑶镇医院站 
1807,白土站	1037,雅瑶镇医院站 
1803,白山村站	1037,雅瑶镇医院站 
1780,澳洲山庄站	1037,雅瑶镇医院站 
1772,坳岗站	1037,雅瑶镇医院站 
1770,安新路站	1037,雅瑶镇医院站 
1768,安新路南站	1037,雅瑶镇医院站 
1465,增南路站	1037,雅瑶镇医院站 
1456,云苑直街口站	1037,雅瑶镇医院站 
1455,云苑一街站	1037,雅瑶镇医院站 
6954,合成站	1037,雅瑶镇医院站 
6953,南航路口站	1037,雅瑶镇医院站 
6947,杨屋市场站	1037,雅瑶镇医院站 
6943,大华市场站	1037,雅瑶镇医院站 
6942,圆玄小学站	1037,雅瑶镇医院站 
6919,新业路北(斗塘路口)站	1037,雅瑶镇医院站 
6903,田心西路站	1037,雅瑶镇医院站 
10018,黄岐镇政府总站	1037,雅瑶镇医院站 
9811,班岭村口站	1037,雅瑶镇医院站 
11398,新造职中站	1037,雅瑶镇医院站 
11397,新谭路口站	1037,雅瑶镇医院站 
11102,石基小学站	1037,雅瑶镇医院站 
11101,三坭涌站	1037,雅瑶镇医院站 
11079,均冲站	1037,雅瑶镇医院站 
11075,红星村站	1037,雅瑶镇医院站 
11068,沙尾站	1037,雅瑶镇医院站 
11059,均冲站	1037,雅瑶镇医院站 
11051,灵山医院站	1037,雅瑶镇医院站 
11004,禺山大道西站	1037,雅瑶镇医院站 
10995,小平牌坊站	1037,雅瑶镇医院站 
10973,沙湾派出所站	1037,雅瑶镇医院站 
10967,为民中路站	1037,雅瑶镇医院站 
10919,龙岐路口站	1037,雅瑶镇医院站 
10907,康泰园站	1037,雅瑶镇医院站 
12191,顺番加油站	1037,雅瑶镇医院站 
11171,广铁一中站	1037,雅瑶镇医院站 
11166,海傍水乡站	1037,雅瑶镇医院站 
11108,晒缯涌站	1037,雅瑶镇医院站 
11098,七十七站	1037,雅瑶镇医院站 
11086,朗晴工业区站	1037,雅瑶镇医院站 
11085,东涌万兴路总站	1037,雅瑶镇医院站 
11076,长莫村委站	1037,雅瑶镇医院站 
11072,十四队站	1037,雅瑶镇医院站 
11069,万洲水闸总站	1037,雅瑶镇医院站 
11066,十四队站	1037,雅瑶镇医院站 
11062,长莫村委站	1037,雅瑶镇医院站 
11052,灵山路口南站	1037,雅瑶镇医院站 
11047,宜安村站	1037,雅瑶镇医院站 
11017,高新沙路口站	1037,雅瑶镇医院站 
10992,象贤中学北门站	1037,雅瑶镇医院站 
10958,市桥中心小学站	1037,雅瑶镇医院站 
10945,沙湾南村站	1037,雅瑶镇医院站 
10940,沙头中学站	1037,雅瑶镇医院站 
10902,捷进中路站	1037,雅瑶镇医院站 
10887,横坑村站	1037,雅瑶镇医院站 
11172,技术官员村站	1037,雅瑶镇医院站 
11167,亚运城综合体育馆站	1037,雅瑶镇医院站 
11140,凤凰四路站	1037,雅瑶镇医院站 
6683,碑记街站	1037,雅瑶镇医院站 
10121,红旗路站	1037,雅瑶镇医院站 
10084,王园路站	1037,雅瑶镇医院站 
10073,桥中总站	1037,雅瑶镇医院站 
10053,生物岛北站	1037,雅瑶镇医院站 
6498,前锋村站	1037,雅瑶镇医院站 
6496,区公汽公司站	1037,雅瑶镇医院站 
6494,番禺汽车客运站	1037,雅瑶镇医院站 
6404,山塘村站	1037,雅瑶镇医院站 
11980,石基三中(富怡路)站	1037,雅瑶镇医院站 
11977,金业别墅花园站	1037,雅瑶镇医院站 
11976,绿庭雅苑站	1037,雅瑶镇医院站 
11973,西村路口站	1037,雅瑶镇医院站 
11971,古坝市场站	1037,雅瑶镇医院站 
11970,新洲村委站	1037,雅瑶镇医院站 
11969,龙湾村站	1037,雅瑶镇医院站 
11968,龙湾小学站	1037,雅瑶镇医院站 
11967,龙湾小学站	1037,雅瑶镇医院站 
11966,紫坭村委站	1037,雅瑶镇医院站 
11965,小平路口站	1037,雅瑶镇医院站 
11961,大刀沙村尾站	1037,雅瑶镇医院站 
11960,草河小学站	1037,雅瑶镇医院站 
11670,裕丰东站	1037,雅瑶镇医院站 
11668,沙北村站	1037,雅瑶镇医院站 
11666,草堂车站	1037,雅瑶镇医院站 
11665,仙岭村站	1037,雅瑶镇医院站 
11664,明经村站	1037,雅瑶镇医院站 
11663,爱莲村站	1037,雅瑶镇医院站 
11662,金湖工业区站	1037,雅瑶镇医院站 
11660,大岭村站	1037,雅瑶镇医院站 
11659,化龙医院站	1037,雅瑶镇医院站 
11658,番艺花园站	1037,雅瑶镇医院站 
11657,南坑村口站	1037,雅瑶镇医院站 
11655,金山小学站	1037,雅瑶镇医院站 
11654,桥山村站	1037,雅瑶镇医院站 
11653,石基小学大龙校区站	1037,雅瑶镇医院站 
11652,桥山工业区站	1037,雅瑶镇医院站 
11651,文边村站	1037,雅瑶镇医院站 
11650,旧水坑小学站	1037,雅瑶镇医院站 
11648,水濂小学站	1037,雅瑶镇医院站 
11647,新水坑文化中心站	1037,雅瑶镇医院站 
11641,西丽桥北站	1037,雅瑶镇医院站 
11640,市桥医院(西环路)站	1037,雅瑶镇医院站 
11639,三其大街站	1037,雅瑶镇医院站 
11638,大龙居委站	1037,雅瑶镇医院站 
11637,大龙居委站	1037,雅瑶镇医院站 
11636,富怡苑站	1037,雅瑶镇医院站 
11633,浮沙村站	1037,雅瑶镇医院站 
11632,古坝市场站	1037,雅瑶镇医院站 
11631,古坝电影院站	1037,雅瑶镇医院站 
11630,古东工业区站	1037,雅瑶镇医院站 
11629,大桥头站	1037,雅瑶镇医院站 
11626,番禺博物馆站	1037,雅瑶镇医院站 
11624,南区公园(福德路)站	1037,雅瑶镇医院站 
11617,思贤村站	1037,雅瑶镇医院站 
11616,兴业大道北站	1037,雅瑶镇医院站 
11615,新造中心小学站	1037,雅瑶镇医院站 
11613,文山村站	1037,雅瑶镇医院站 
11600,张松村总站	1037,雅瑶镇医院站 
11598,榄核镇政府站	1037,雅瑶镇医院站 
11596,九比村总站	1037,雅瑶镇医院站 
11595,同康路站	1037,雅瑶镇医院站 
11590,地铁东涌总站	1037,雅瑶镇医院站 
11589,东涌名苑站	1037,雅瑶镇医院站 
12188,西丽桥南站	1037,雅瑶镇医院站 
11580,南沙体育馆站	1037,雅瑶镇医院站 
11572,屏一桥站	1037,雅瑶镇医院站 
11571,西二村(西张二路)站	1037,雅瑶镇医院站 
11561,复苏站	1037,雅瑶镇医院站 
11559,莲花山车站总站	1037,雅瑶镇医院站 
11558,石楼派出所站	1037,雅瑶镇医院站 
11555,裕丰桥站	1037,雅瑶镇医院站 
11552,合兴村站	1037,雅瑶镇医院站 
11550,山门牌坊站	1037,雅瑶镇医院站 
11547,交警大队站	1037,雅瑶镇医院站 
11544,金山村委站	1037,雅瑶镇医院站 
11543,大龙玻璃厂站	1037,雅瑶镇医院站 
11542,大龙玻璃厂站	1037,雅瑶镇医院站 
11541,石基小学大龙校区站	1037,雅瑶镇医院站 
11540,凌边村站	1037,雅瑶镇医院站 
11539,天德厂站	1037,雅瑶镇医院站 
11538,凌边总站	1037,雅瑶镇医院站 
11537,凌边工业区站	1037,雅瑶镇医院站 
11536,金山路口站	1037,雅瑶镇医院站 
11535,文边工业区站	1037,雅瑶镇医院站 
11534,坑头工业区站	1037,雅瑶镇医院站 
11533,坑头生态园站	1037,雅瑶镇医院站 
11532,新水坑村生态园站	1037,雅瑶镇医院站 
11529,西堤小区站	1037,雅瑶镇医院站 
11528,海滨大厦站	1037,雅瑶镇医院站 
11527,西丽桥北站	1037,雅瑶镇医院站 
11526,长坦村口站	1037,雅瑶镇医院站 
11525,低涌村总站	1037,雅瑶镇医院站 
11524,富庭花园站	1037,雅瑶镇医院站 
11523,大龙小学站	1037,雅瑶镇医院站 
11522,大龙经济发展公司站	1037,雅瑶镇医院站 
11521,大龙经济发展公司站	1037,雅瑶镇医院站 
11520,茶东东村站	1037,雅瑶镇医院站 
11519,茶东村西站	1037,雅瑶镇医院站 
11518,茶东村西站	1037,雅瑶镇医院站 
11516,金业别墅花园站	1037,雅瑶镇医院站 
11515,德宝花园正门站	1037,雅瑶镇医院站 
11513,万科城站	1037,雅瑶镇医院站 
11510,紫坭村口站	1037,雅瑶镇医院站 
11507,沙龙尾站	1037,雅瑶镇医院站 
11503,崇德村站	1037,雅瑶镇医院站 
12176,变电站	1037,雅瑶镇医院站 
11491,万安村站	1037,雅瑶镇医院站 
11487,湴湄村站	1037,雅瑶镇医院站 
11486,子沙村委站	1037,雅瑶镇医院站 
11485,八沙村站	1037,雅瑶镇医院站 
11484,八沙村站	1037,雅瑶镇医院站 
11481,蔡新路口站	1037,雅瑶镇医院站 
11480,榄核派出所站	1037,雅瑶镇医院站 
11479,西线路口站	1037,雅瑶镇医院站 
11478,墩塘工业区站	1037,雅瑶镇医院站 
11477,创信鞋厂站	1037,雅瑶镇医院站 
11476,东深天益村站	1037,雅瑶镇医院站 
11470,甘岗村站	1037,雅瑶镇医院站 
11466,滨海花园站	1037,雅瑶镇医院站 
11457,西三寸渡口站	1037,雅瑶镇医院站 
11456,富裕围站	1037,雅瑶镇医院站 
11455,富裕围站	1037,雅瑶镇医院站 
11452,百越广场南门站	1037,雅瑶镇医院站 
11451,盛泰花园站	1037,雅瑶镇医院站 
11449,多州站	1037,雅瑶镇医院站 
11448,石楼派出所站	1037,雅瑶镇医院站 
11446,官涌村站	1037,雅瑶镇医院站 
11444,新村站	1037,雅瑶镇医院站 
11441,沙尾村站	1037,雅瑶镇医院站 
11440,仙岭村站	1037,雅瑶镇医院站 
11439,下山门村总站	1037,雅瑶镇医院站 
11438,官桥新村站	1037,雅瑶镇医院站 
11437,应塘坊站	1037,雅瑶镇医院站 
11436,柏堂村站	1037,雅瑶镇医院站 
11433,东盛路站	1037,雅瑶镇医院站 
11431,旧水坑中心街站	1037,雅瑶镇医院站 
12262,黄麻社区居委会	1037,雅瑶镇医院站 
12221,烨辉站	1037,雅瑶镇医院站 
12208,五沙一村站	1037,雅瑶镇医院站 
12226,安博基业公司站	1037,雅瑶镇医院站 
12363,民营工业园(增城)站	1037,雅瑶镇医院站 
12270,榄核公交站	1037,雅瑶镇医院站 
12259,八哥村站	1037,雅瑶镇医院站 
12241,蚬涌市场站	1037,雅瑶镇医院站 
12239,五沙三村站	1037,雅瑶镇医院站 
12238,五沙大桥收费站	1037,雅瑶镇医院站 
12231,欧洲工业园路口	1037,雅瑶镇医院站 
12194,沙坑牌坊站	1037,雅瑶镇医院站 
12186,大夫山森林公园路口	1037,雅瑶镇医院站 
12184,疗养院站	1037,雅瑶镇医院站 
12182,南双玉村	1037,雅瑶镇医院站 
12180,南双玉工业区	1037,雅瑶镇医院站 
12178,双坑村	1037,雅瑶镇医院站 
12174,碧桂东苑	1037,雅瑶镇医院站 
12172,雄峰商城	1037,雅瑶镇医院站 
12166,东晖路东	1037,雅瑶镇医院站 
12145,容桂汽车站	1037,雅瑶镇医院站 
12120,观龙桥脚站	1037,雅瑶镇医院站 
12114,莲花山车站	1037,雅瑶镇医院站 
12092,谷围新村站	1037,雅瑶镇医院站 
12076,湴湄村站	1037,雅瑶镇医院站 
12075,绿村村委站	1037,雅瑶镇医院站 
12074,大生村委站	1037,雅瑶镇医院站 
12073,镇泰厂站	1037,雅瑶镇医院站 
12072,星海小学站	1037,雅瑶镇医院站 
12071,榄核涌站	1037,雅瑶镇医院站 
12070,榄核派出所站	1037,雅瑶镇医院站 
12069,沙湾涌站	1037,雅瑶镇医院站 
12068,墩塘村站	1037,雅瑶镇医院站 
12065,南村油库站	1037,雅瑶镇医院站 
12063,罗边实发市场站	1037,雅瑶镇医院站 
12062,七星岗公园站	1037,雅瑶镇医院站 
12840,荔红路(萝岗中医院)站	1037,雅瑶镇医院站 
12836,岑村新南街站	1037,雅瑶镇医院站 
12823,榄塘村站	1037,雅瑶镇医院站 
12821,滴水岩森林公园总站	1037,雅瑶镇医院站 
12820,留耕堂站	1037,雅瑶镇医院站 
12819,留耕堂站	1037,雅瑶镇医院站 
12818,象贤中学站	1037,雅瑶镇医院站 
12817,象贤中学站	1037,雅瑶镇医院站 
12816,沙湾东村站	1037,雅瑶镇医院站 
12815,沙湾东村站	1037,雅瑶镇医院站 
12813,祈福水城站	1037,雅瑶镇医院站 
12812,雅居乐锦官城站	1037,雅瑶镇医院站 
12802,丹桂社区居委会站	1037,雅瑶镇医院站 
12787,广珠路碧江站	1037,雅瑶镇医院站 
12814,祈福水城站	1037,雅瑶镇医院站 
12726,南翔二路东站	1037,雅瑶镇医院站 
12655,华师生活区站	1037,雅瑶镇医院站 
12487,地玄村站	1037,雅瑶镇医院站 
12480,东线路北站	1037,雅瑶镇医院站 
12471,峻新路口站	1037,雅瑶镇医院站 
12461,奥园广场站	1037,雅瑶镇医院站 
12456,华侨城北门站	1037,雅瑶镇医院站 
12446,甘棠村站	1037,雅瑶镇医院站 
12439,番禺大道(渔民新村)	1037,雅瑶镇医院站 
12424,三村海丰南站	1037,雅瑶镇医院站 
12811,雅居乐锦官城站	1037,雅瑶镇医院站 
12808,南双玉村总站	1037,雅瑶镇医院站 
12807,大板工业区站	1037,雅瑶镇医院站 
12806,大板工业区站	1037,雅瑶镇医院站 
12805,汀根村委站	1037,雅瑶镇医院站 
12800,上佳市站	1037,雅瑶镇医院站 
12798,容山书院站	1037,雅瑶镇医院站 
12796,新球医院站	1037,雅瑶镇医院站 
12793,大良交警中队站	1037,雅瑶镇医院站 
12792,林头西站	1037,雅瑶镇医院站 
12789,顺联广场站	1037,雅瑶镇医院站 
11400,三善中村站	1037,雅瑶镇医院站 
11429,旧水坑派出所(旧村西路)站	1037,雅瑶镇医院站 
11427,眉山工业区站	1037,雅瑶镇医院站 
11426,美洁环卫厂站	1037,雅瑶镇医院站 
11425,凌边村委站	1037,雅瑶镇医院站 
11424,凌环南路站	1037,雅瑶镇医院站 
11423,金山路口站	1037,雅瑶镇医院站 
11421,龙美村(迎新路)站	1037,雅瑶镇医院站 
11420,东沙村站	1037,雅瑶镇医院站 
11417,老干部活动中心站	1037,雅瑶镇医院站 
11416,康裕北苑站	1037,雅瑶镇医院站 
11413,长沙路站	1037,雅瑶镇医院站 
11412,区公汽东门站	1037,雅瑶镇医院站 
11411,前锋工业区站	1037,雅瑶镇医院站 
11410,大龙小学站	1037,雅瑶镇医院站 
11407,华景新城站	1037,雅瑶镇医院站 
11406,华景新城(桥南路)站	1037,雅瑶镇医院站 
11404,古东工业区站	1037,雅瑶镇医院站 
11403,象俊中学站	1037,雅瑶镇医院站 
6295,碑记街口站	1037,雅瑶镇医院站 
6290,姜洞村站	1037,雅瑶镇医院站 
4904,荷棠下村站	1037,雅瑶镇医院站 
4898,荷光路中站	1037,雅瑶镇医院站 
4897,荷光路中站	1037,雅瑶镇医院站 
4896,荷光路站	1037,雅瑶镇医院站 
4895,荷光路站	1037,雅瑶镇医院站 
4894,荷光路口总站	1037,雅瑶镇医院站 
4889,河水东大街站	1037,雅瑶镇医院站 
4888,河水东大街站	1037,雅瑶镇医院站 
4887,河水东大街口总站	1037,雅瑶镇医院站 
4886,河水大街站	1037,雅瑶镇医院站 
4885,河水大街站	1037,雅瑶镇医院站 
4856,禾丰路中站	1037,雅瑶镇医院站 
4853,禾丰二纵路口站	1037,雅瑶镇医院站 
4850,禾丰村站	1037,雅瑶镇医院站 
12804,汀根村委站	1037,雅瑶镇医院站 
12803,丹桂社区居委会站	1037,雅瑶镇医院站 
12730,南翔三路站	1037,雅瑶镇医院站 
12728,南云四路站	1037,雅瑶镇医院站 
12724,南翔二路中站	1037,雅瑶镇医院站 
12629,阅江中路东站	1037,雅瑶镇医院站 
12626,大涵小学站	1037,雅瑶镇医院站 
12484,东盛路中站	1037,雅瑶镇医院站 
12483,蔗山村口站	1037,雅瑶镇医院站 
12478,金山村委总站	1037,雅瑶镇医院站 
12465,番禺广场	1037,雅瑶镇医院站 
12440,永和崇和花园	1037,雅瑶镇医院站 
12669,广氮花园南站	1037,雅瑶镇医院站 
20072,机场南	1037,雅瑶镇医院站 
20014,人和	1037,雅瑶镇医院站 
12646,亭角大桥北站	1037,雅瑶镇医院站 
12645,亭角大桥北站	1037,雅瑶镇医院站 
12644,大岗车站	1037,雅瑶镇医院站 
12628,石龙头总站	1037,雅瑶镇医院站 
12627,大涵小学站	1037,雅瑶镇医院站 
12624,大涵村委站	1037,雅瑶镇医院站 
20038,嘉禾望岗	1037,雅瑶镇医院站 
20144,龙归	1037,雅瑶镇医院站 
20102,白云大道北	1037,雅瑶镇医院站 
12455,华侨城北门站	1037,雅瑶镇医院站 
12453,北海村总站	1037,雅瑶镇医院站 
12425,大石中心小学站	1037,雅瑶镇医院站 
20025,凤凰新村	1037,雅瑶镇医院站 
20064,文冲	1037,雅瑶镇医院站 
20044,大沙东	1037,雅瑶镇医院站 
20045,大沙地	1037,雅瑶镇医院站 
20136,鱼珠	1037,雅瑶镇医院站 
20004,三溪	1037,雅瑶镇医院站 
20005,东圃	1037,雅瑶镇医院站 
20128,车陂南	1037,雅瑶镇医院站 
20109,科韵路	1037,雅瑶镇医院站 
20036,员村	1037,雅瑶镇医院站 
20096,猎德	1037,雅瑶镇医院站 
11943,牛角桥北站	1037,雅瑶镇医院站 
11942,牛角村站	1037,雅瑶镇医院站 
11939,张松村桥站	1037,雅瑶镇医院站 
11938,张松工业区站	1037,雅瑶镇医院站 
11937,良地埠站	1037,雅瑶镇医院站 
11936,新涌村委站	1037,雅瑶镇医院站 
11935,镇泰厂站	1037,雅瑶镇医院站 
11932,太石村南沙大道站	1037,雅瑶镇医院站 
11930,小鸟桥站	1037,雅瑶镇医院站 
20093,潭村	1037,雅瑶镇医院站 
20098,珠江新城	1037,雅瑶镇医院站 
20012,五羊邨	1037,雅瑶镇医院站 
11923,蕉门地铁总站	1037,雅瑶镇医院站 
20074,杨箕	1037,雅瑶镇医院站 
20026,动物园	1037,雅瑶镇医院站 
20027,区庄	1037,雅瑶镇医院站 
20091,淘金	1037,雅瑶镇医院站 
20055,小北	1037,雅瑶镇医院站 
11913,龙祥路口站	1037,雅瑶镇医院站 
11912,长江数码花园站	1037,雅瑶镇医院站 
20120,西村	1037,雅瑶镇医院站 
11908,番禺会议中心站	1037,雅瑶镇医院站 
11906,复苏站	1037,雅瑶镇医院站 
11904,潭山村站	1037,雅瑶镇医院站 
11903,官桥新村站	1037,雅瑶镇医院站 
11902,官桥村站	1037,雅瑶镇医院站 
11901,柏堂村站	1037,雅瑶镇医院站 
11900,化龙车站	1037,雅瑶镇医院站 
11899,番艺花园站	1037,雅瑶镇医院站 
11897,旧水坑村尾站	1037,雅瑶镇医院站 
11896,美食广场南门站	1037,雅瑶镇医院站 
11894,榕林路口站	1037,雅瑶镇医院站 
11891,东泰工业区站	1037,雅瑶镇医院站 
11890,凌边十队站	1037,雅瑶镇医院站 
11889,凌环南路站	1037,雅瑶镇医院站 
11888,文边工业区站	1037,雅瑶镇医院站 
11887,文边总站	1037,雅瑶镇医院站 
11886,文边村站	1037,雅瑶镇医院站 
11884,旧水坑村委站	1037,雅瑶镇医院站 
11883,新水坑牌坊站	1037,雅瑶镇医院站 
11880,富豪山庄总站	1037,雅瑶镇医院站 
11879,区工商局站	1037,雅瑶镇医院站 
11878,海傍路站	1037,雅瑶镇医院站 
11877,民政局婚姻登记处站	1037,雅瑶镇医院站 
11876,恒升工业园站	1037,雅瑶镇医院站 
11875,石基四中站	1037,雅瑶镇医院站 
11874,前锋工业区站	1037,雅瑶镇医院站 
11873,捷达莱堡厂站	1037,雅瑶镇医院站 
11872,低涌村委站	1037,雅瑶镇医院站 
11871,石基文化广场站	1037,雅瑶镇医院站 
11868,草河村委站	1037,雅瑶镇医院站 
11866,喜盈雅境站	1037,雅瑶镇医院站 
11865,番中路口站	1037,雅瑶镇医院站 
11862,古东牌坊站	1037,雅瑶镇医院站 
11861,古坝电影院站	1037,雅瑶镇医院站 
11860,龙湾村站	1037,雅瑶镇医院站 
11858,理工学院站	1037,雅瑶镇医院站 
11856,磷肥厂站	1037,雅瑶镇医院站 
11855,青峰气站	1037,雅瑶镇医院站 
11854,大罗村(银平路)站	1037,雅瑶镇医院站 
11853,银平路站	1037,雅瑶镇医院站 
11850,南快桥站	1037,雅瑶镇医院站 
11849,眉山村站	1037,雅瑶镇医院站 
11848,如意路站	1037,雅瑶镇医院站 
11845,莘汀村站	1037,雅瑶镇医院站 
11844,东西庄总站	1037,雅瑶镇医院站 
11843,曾边村站	1037,雅瑶镇医院站 
20063,广州火车站	1037,雅瑶镇医院站 
20117,西场	1037,雅瑶镇医院站 
20010,中山八	1037,雅瑶镇医院站 
20040,坦尾	1037,雅瑶镇医院站 
20092,滘口	1037,雅瑶镇医院站 
20139,黄村	1037,雅瑶镇医院站 
20126,车陂	1037,雅瑶镇医院站 
20127,车陂南	1037,雅瑶镇医院站 
20001,万胜围	1037,雅瑶镇医院站 
20051,官洲	1037,雅瑶镇医院站 
20066,新造	1037,雅瑶镇医院站 
20043,大学城南	1037,雅瑶镇医院站 
20042,大学城北	1037,雅瑶镇医院站 
20106,石碁	1037,雅瑶镇医院站 
20088,海傍	1037,雅瑶镇医院站 
20016,低涌	1037,雅瑶镇医院站 
11825,新队站	1037,雅瑶镇医院站 
11824,新队站	1037,雅瑶镇医院站 
11823,人民村站	1037,雅瑶镇医院站 
11822,绿村村委站	1037,雅瑶镇医院站 
11821,国防技校站	1037,雅瑶镇医院站 
11820,国防技校站	1037,雅瑶镇医院站 
11818,墩塘桥站	1037,雅瑶镇医院站 
11816,东线大道站	1037,雅瑶镇医院站 
11815,市头村站	1037,雅瑶镇医院站 
20008,东涌	1037,雅瑶镇医院站 
20143,黄阁汽车城	1037,雅瑶镇医院站 
20116,蕉门	1037,雅瑶镇医院站 
20142,黄阁	1037,雅瑶镇医院站 
