8158,沙角村站	12791,林头西站 
9465,程介村站2	12791,林头西站 
7764,开泰大道(科丰路口)站	12791,林头西站 
7619,科韵路中站	12791,林头西站 
7598,荔湾区人民医院站	12791,林头西站 
7594,悦成路站	12791,林头西站 
7591,步漖村站	12791,林头西站 
7491,侨港路口	12791,林头西站 
7485,海居路口站	12791,林头西站 
7463,白山村居委站	12791,林头西站 
10498,广东行政学院站	12791,林头西站 
7437,谢家庄站	12791,林头西站 
7426,七星路口站	12791,林头西站 
7412,竹料税所站	12791,林头西站 
7403,三联路口站	12791,林头西站 
7394,莘田小学站	12791,林头西站 
7345,国光厂站	12791,林头西站 
10459,瑞玲站	12791,林头西站 
7159,人和(东华村)总站	12791,林头西站 
10417,石灰场站	12791,林头西站 
10378,高新技术学校路口站	12791,林头西站 
10264,南方大厦(文化公园)总站 	12791,林头西站 
10219,人和（黄榜岭）总站	12791,林头西站 
10218,汇桥南路总站	12791,林头西站 
6777,纲领南路站	12791,林头西站 
10180,武警医院站2	12791,林头西站 
6723,郭塘村口站	12791,林头西站 
6710,郭塘村站	12791,林头西站 
6592,罗溪路站	12791,林头西站 
6560,高普路中站	12791,林头西站 
10161,江新路站	12791,林头西站 
6541,平洲医院路口	12791,林头西站 
10157,萝岗总站	12791,林头西站 
10039,人和车站	12791,林头西站 
5996,柯木塱站	12791,林头西站 
5995,康王中路站	12791,林头西站 
5994,康王中路站	12791,林头西站 
5993,康王南路站2	12791,林头西站 
5992,康王南路站1	12791,林头西站 
5991,康王南路站	12791,林头西站 
7785,恒达路站	12791,林头西站 
7743,云溪路东站	12791,林头西站 
7718,金井坊站	12791,林头西站 
7712,长沙路口站	12791,林头西站 
7708,傍新路口站	12791,林头西站 
7697,德宝花园站	12791,林头西站 
7676,汉基工业区站	12791,林头西站 
7664,潮田工业区站	12791,林头西站 
7654,怡新路口站	12791,林头西站 
7652,地铁梅花园站总站	12791,林头西站 
7650,员村五横路口站	12791,林头西站 
7649,琶洲大桥底站	12791,林头西站 
7617,岑村沙浦大街站	12791,林头西站 
7616,泰宁大街站	12791,林头西站 
7613,西塱大街站	12791,林头西站 
7590,步漖村站	12791,林头西站 
7572,地铁文冲站	12791,林头西站 
7545,槎溪大道站	12791,林头西站 
7522,沐陂村口站	12791,林头西站 
7511,阅江路(珠江啤酒厂)总站	12791,林头西站 
7495,北山路口站	12791,林头西站 
7477,广州火车站总站	12791,林头西站 
7455,东平东凤西路站	12791,林头西站 
7439,永兴村委站	12791,林头西站 
7438,龙兴中路口站	12791,林头西站 
7425,花东派出所站	12791,林头西站 
7418,石角卫生所	12791,林头西站 
7400,莘田工业区站	12791,林头西站 
7398,花都北兴汽车站总站	12791,林头西站 
10881,公路局南城分局站	12791,林头西站 
7386,大罗村站	12791,林头西站 
7359,财富工业园站	12791,林头西站 
7358,朗悦君庭站	12791,林头西站 
7357,永利路口站	12791,林头西站 
7355,国光厂宿舍站	12791,林头西站 
7344,国光厂宿舍站	12791,林头西站 
7337,中心社区站	12791,林头西站 
7332,横潭牌坊站	12791,林头西站 
7327,动物园总站	12791,林头西站 
7318,站前路公交总站	12791,林头西站 
7316,花都音像厂站	12791,林头西站 
7311,龙口站	12791,林头西站 
7298,南门站	12791,林头西站 
7296,花都一中站	12791,林头西站 
7289,新街水果市场站	12791,林头西站 
7285,新华街道办站	12791,林头西站 
7276,交运技术学院站	12791,林头西站 
7255,环场路(花花世界)总站	12791,林头西站 
7245,横沙村站	12791,林头西站 
7244,彩滨北路站	12791,林头西站 
10865,番艺花园路口站	12791,林头西站 
7226,米岗村总站	12791,林头西站 
7220,凤和村站	12791,林头西站 
10847,大平市场站	12791,林头西站 
10844,陈涌站	12791,林头西站 
10831,蔡边村站	12791,林头西站 
7186,清湖马田街站	12791,林头西站 
7185,清湖牌坊站	12791,林头西站 
7180,人和华成路东站	12791,林头西站 
7179,人和华成路中站	12791,林头西站 
7168,人和华成路(新村公园)站	12791,林头西站 
7163,鸦湖村站	12791,林头西站 
10815,广医四院南门站	12791,林头西站 
10702,东平村(钟屋路口)站	12791,林头西站 
10638,东兴市场站	12791,林头西站 
7136,永兴瑚琏总站	12791,林头西站 
10636,山龙村委站	12791,林头西站 
6761,障岗村站	12791,林头西站 
6758,障岗村站	12791,林头西站 
10055,星岛环南路北站	12791,林头西站 
6502,亚运城站	12791,林头西站 
10049,生物岛叠翠园总站	12791,林头西站 
9883,海珠客运站1	12791,林头西站 
5989,康王北路站	12791,林头西站 
5988,康王北路站	12791,林头西站 
5987,康南路站	12791,林头西站 
5986,康南路站	12791,林头西站 
5985,康南路口站	12791,林头西站 
5984,康南路口站	12791,林头西站 
5983,康南路北总站	12791,林头西站 
5982,康南路北站	12791,林头西站 
5981,康南路北站	12791,林头西站 
5980,康乃馨花园站	12791,林头西站 
5979,康乃馨花园站	12791,林头西站 
5978,康龙大街站	12791,林头西站 
5977,康龙大街站	12791,林头西站 
5976,光明北路站	12791,林头西站 
5975,光明北路站	12791,林头西站 
5974,康乐五社站	12791,林头西站 
5973,康乐五社站	12791,林头西站 
5972,康乐三社站	12791,林头西站 
5971,康乐三社站	12791,林头西站 
5970,康乐村站2	12791,林头西站 
5969,康乐村站1	12791,林头西站 
5968,康乐村站	12791,林头西站 
5967,康湖大街站	12791,林头西站 
5966,康大职业技术学院站	12791,林头西站 
5965,康大职业技术学院站	12791,林头西站 
5964,开源大道中站	12791,林头西站 
5963,开源大道中站	12791,林头西站 
5962,开泰大道中站	12791,林头西站 
5961,开泰大道中站	12791,林头西站 
7112,上庄站	12791,林头西站 
7063,蚌湖路口站	12791,林头西站 
7007,丰岗收费站	12791,林头西站 
6894,田心大路口站	12791,林头西站 
6888,田心西路总站	12791,林头西站 
6883,粤溪北路站	12791,林头西站 
6876,荔德路站	12791,林头西站 
12192,沙坑牌坊站	12791,林头西站 
9926,上步大道口站	12791,林头西站 
9759,龙怡路站	12791,林头西站 
7749,新墩大道站	12791,林头西站 
7746,新墩村口站	12791,林头西站 
7739,科韵路北(云溪路口)站	12791,林头西站 
9758,龙河中路站	12791,林头西站 
7721,永善村站	12791,林头西站 
7701,广场西路站	12791,林头西站 
7694,德信路站	12791,林头西站 
7675,大龙桥站	12791,林头西站 
7674,石基镇政府站	12791,林头西站 
7655,牛利岗南街站	12791,林头西站 
7645,寺右南街站	12791,林头西站 
9668,启学路站	12791,林头西站 
7614,西塱村委站	12791,林头西站 
7603,塞坝路东站	12791,林头西站 
7600,珠岛花园站	12791,林头西站 
10189,思成路站	12791,林头西站 
7582,炕头站	12791,林头西站 
7576,炕头站	12791,林头西站 
7559,潭村桥东站	12791,林头西站 
7552,南新大街口站	12791,林头西站 
7539,槎头万龙二街站	12791,林头西站 
7536,元下田二路八巷口站	12791,林头西站 
7530,时代玫瑰园站	12791,林头西站 
7521,沐陂村口站	12791,林头西站 
7498,西二村站	12791,林头西站 
9607,滘心路北站	12791,林头西站 
7475,体育西横街路口站	12791,林头西站 
7464,白山村广场站	12791,林头西站 
7462,白山村尾站	12791,林头西站 
7460,长红东路站	12791,林头西站 
7457,东平东凤西路站	12791,林头西站 
7452,长红东路站	12791,林头西站 
9689,和平新村站3	12791,林头西站 
7434,田寮庄站	12791,林头西站 
7424,花都推广汽车站总站	12791,林头西站 
7415,李溪村委站	12791,林头西站 
7413,新庄站	12791,林头西站 
7409,大罗村站	12791,林头西站 
7406,钟落潭车站	12791,林头西站 
7404,长沙步村委站	12791,林头西站 
7395,莘田村委站	12791,林头西站 
7390,人人佳站	12791,林头西站 
7379,天和站	12791,林头西站 
7377,三凤村站	12791,林头西站 
7373,九湖村站	12791,林头西站 
7371,花山中队站	12791,林头西站 
7368,花山镇政府站	12791,林头西站 
7361,石塘卫生站	12791,林头西站 
7353,云峰花园站	12791,林头西站 
7350,清布站	12791,林头西站 
7348,合和新城站	12791,林头西站 
7346,云峰花园站	12791,林头西站 
7343,东莞村口站	12791,林头西站 
7338,石塘水泥厂站	12791,林头西站 
7336,东镜市场站	12791,林头西站 
7334,培新中学站	12791,林头西站 
7323,横潭路口站	12791,林头西站 
7320,培新中学站	12791,林头西站 
7309,团结村站	12791,林头西站 
7300,龙口站	12791,林头西站 
7287,交运技术学院站	12791,林头西站 
7278,新华街道办站	12791,林头西站 
7270,新世纪广场东站	12791,林头西站 
7252,白沙村委站	12791,林头西站 
7221,人和华盛南路站	12791,林头西站 
7194,云城东路(云城南二路口)站	12791,林头西站 
7192,云港路站	12791,林头西站 
7174,矮岗村委站	12791,林头西站 
7124,龙归地铁站总站	12791,林头西站 
7114,长洲路口(黄埔军校)站	12791,林头西站 
7113,上庄站	12791,林头西站 
7107,云城东路南站	12791,林头西站 
7102,云城南四路站	12791,林头西站 
7096,仲恺农业工程学院站	12791,林头西站 
9971,棠溪站2	12791,林头西站 
7089,五龙岗路口站	12791,林头西站 
7087,马沥村站	12791,林头西站 
7084,仲恺农业工程学院北门站	12791,林头西站 
7083,马洞村委	12791,林头西站 
7081,云城南二路总站	12791,林头西站 
7079,时代糖果	12791,林头西站 
7076,石井大道(红星村)	12791,林头西站 
7074,石井大道(滘心村)	12791,林头西站 
7073,石井大道中	12791,林头西站 
7069,石井大道中	12791,林头西站 
7066,石井大道(红星村)	12791,林头西站 
2097,车陂路站	12791,林头西站 
2096,车陂路站	12791,林头西站 
2094,车陂路口站1	12791,林头西站 
2093,车陂路北站	12791,林头西站 
2092,车陂路北站	12791,林头西站 
2091,车陂公交场站	12791,林头西站 
2090,车陂公交场站	12791,林头西站 
2089,车陂高架桥侧站	12791,林头西站 
2088,车陂高架桥侧站	12791,林头西站 
1984,笔岗路站	12791,林头西站 
2087,潮汕学院站	12791,林头西站 
2086,潮汕学院站	12791,林头西站 
2085,朝阳路口站	12791,林头西站 
2084,朝阳路口站	12791,林头西站 
2083,朝阳开发区站	12791,林头西站 
2082,朝阳开发区站	12791,林头西站 
2081,朝阳东路站	12791,林头西站 
2080,朝阳东路站	12791,林头西站 
2078,朝天路站	12791,林头西站 
2077,朝亮南路站	12791,林头西站 
2076,朝亮南路站	12791,林头西站 
2074,昌岗西路站	12791,林头西站 
2073,昌岗西路站	12791,林头西站 
2071,昌岗路总站	12791,林头西站 
2069,昌岗路口站	12791,林头西站 
2068,昌岗路口站	12791,林头西站 
2064,槎头站1	12791,林头西站 
2063,槎头站	12791,林头西站 
2062,槎头(西槎路)站	12791,林头西站 
2060,茶叶市场站	12791,林头西站 
2059,茶叶市场站	12791,林头西站 
2058,茶山庄站	12791,林头西站 
2057,茶山庄站	12791,林头西站 
2056,茶漖北路站	12791,林头西站 
2055,茶漖北路站	12791,林头西站 
2054,岑境村站	12791,林头西站 
2053,岑境村站	12791,林头西站 
2052,岑村站	12791,林头西站 
2051,岑村站	12791,林头西站 
2050,岑村桥站	12791,林头西站 
2049,岑村桥站	12791,林头西站 
2048,岑村教练场总站	12791,林头西站 
2047,岑村火炉山森林公园总站	12791,林头西站 
2046,策边村站	12791,林头西站 
2045,策边村站	12791,林头西站 
2044,草庄总站	12791,林头西站 
2043,草暖公园站	12791,林头西站 
2042,草芳围站	12791,林头西站 
2041,草芳围站	12791,林头西站 
2040,沧头中路站	12791,林头西站 
2039,沧头中路站	12791,林头西站 
2038,沧头村总站	12791,林头西站 
2037,沧联总站	12791,林头西站 
2036,沧联小学站	12791,林头西站 
2035,沧联小学站	12791,林头西站 
2034,沧联市场站	12791,林头西站 
2033,沧联市场站	12791,林头西站 
2032,沧联市场大街站	12791,林头西站 
2031,沧联市场大街站	12791,林头西站 
2030,沧联社区站	12791,林头西站 
2029,沧联社区站	12791,林头西站 
2028,仓边路站2	12791,林头西站 
2027,仓边路站1	12791,林头西站 
2026,仓边路站1	12791,林头西站 
2025,彩频路站	12791,林头西站 
2024,彩频路站	12791,林头西站 
2023,彩虹戏院站	12791,林头西站 
2022,彩虹戏院站	12791,林头西站 
2021,彩虹社区站	12791,林头西站 
2020,彩虹社区站	12791,林头西站 
2019,彩虹桥站1	12791,林头西站 
2018,彩虹桥站2	12791,林头西站 
2017,财厅站	12791,林头西站 
2016,财税学院站	12791,林头西站 
2015,布岭路口站	12791,林头西站 
2014,布岭路口站	12791,林头西站 
2013,布岭村站	12791,林头西站 
2012,布岭村站	12791,林头西站 
2011,博罗村站	12791,林头西站 
2010,博罗村站	12791,林头西站 
2009,菠萝山站	12791,林头西站 
2008,菠萝山站	12791,林头西站 
2005,滨江西路站	12791,林头西站 
2002,滨江东路总站	12791,林头西站 
2001,滨江东路站	12791,林头西站 
2000,滨江东路站	12791,林头西站 
1999,滨河路站	12791,林头西站 
1998,滨河路站	12791,林头西站 
1997,滨海半岛站	12791,林头西站 
1995,边检站	12791,林头西站 
1994,边检站	12791,林头西站 
1993,边防指挥学校站	12791,林头西站 
1992,边防指挥学校站	12791,林头西站 
1991,碧映路西站	12791,林头西站 
1990,碧映路西站	12791,林头西站 
1989,碧映路东站	12791,林头西站 
1988,碧映路东站	12791,林头西站 
1987,碧山村总站	12791,林头西站 
1986,碧山村站	12791,林头西站 
1985,碧山村站	12791,林头西站 
3125,穗盐路站	12791,林头西站 
3124,穗盐路站	12791,林头西站 
3123,穗盐路(雍景豪园)总站	12791,林头西站 
3122,穗石村站	12791,林头西站 
1983,笔岗路站	12791,林头西站 
3121,穗石村站	12791,林头西站 
3120,穗华中学站	12791,林头西站 
6865,上步总站	12791,林头西站 
6862,河边大道站	12791,林头西站 
6859,粤溪牌坊站	12791,林头西站 
6844,上步大道口站	12791,林头西站 
10278,朝阳收费站	12791,林头西站 
10274,东石牌坊站	12791,林头西站 
10269,罗岗村总站	12791,林头西站 
10244,盐步中学站	12791,林头西站 
10235,龙洞东路站	12791,林头西站 
10231,瑞宝南路口	12791,林头西站 
10230,江晓路口总站	12791,林头西站 
10229,榕树头路口站	12791,林头西站 
10208,雁洲路口站	12791,林头西站 
10192,天盈路站	12791,林头西站 
10186,天慧路站	12791,林头西站 
10175,同德围(丽康居)总站	12791,林头西站 
10173,东苑小区站2	12791,林头西站 
10168,石榴岗(华洲路)站	12791,林头西站 
10142,新村口站	12791,林头西站 
10097,新南街站	12791,林头西站 
10076,墩和(大塘西)总站	12791,林头西站 
10069,石中路口站 	12791,林头西站 
10067,同和站2	12791,林头西站 
6661,夏良村委站	12791,林头西站 
6654,云溪路西站	12791,林头西站 
