8563,柏兴中路站	1,竹料墟站 
7751,水南村站	1,竹料墟站 
7747,新墩下基市场大街站	1,竹料墟站 
7745,新墩村口站	1,竹料墟站 
11168,亚运城体验中心站	1,竹料墟站 
7724,陈戴巷站	1,竹料墟站 
7547,槎头万龙二街站	1,竹料墟站 
7543,槎溪南路总站	1,竹料墟站 
7540,彭加木公园站	1,竹料墟站 
10116,香雪八路南站	1,竹料墟站 
6913,启学路(玉岩路路口)站	1,竹料墟站 
2783,凤凰中学站	1,竹料墟站 
2782,凤凰中学站	1,竹料墟站 
2778,凤凰公司站	1,竹料墟站 
2562,东平市场站	1,竹料墟站 
2551,东平广场站	1,竹料墟站 
2545,东鹏大道中站	1,竹料墟站 
2544,东鹏大道中站	1,竹料墟站 
2543,东鹏大道站	1,竹料墟站 
2542,东鹏大道站	1,竹料墟站 
2538,东明二路站	1,竹料墟站 
2535,东塱站	1,竹料墟站 
2533,东塱市场站	1,竹料墟站 
2523,东璟街站	1,竹料墟站 
2520,东捷路站	1,竹料墟站 
2507,东江大道中站	1,竹料墟站 
2506,东江大道中站	1,竹料墟站 
2505,东基站	1,竹料墟站 
2504,东基站	1,竹料墟站 
2503,东基村站	1,竹料墟站 
2502,东基村站	1,竹料墟站 
2500,东晖路口站	1,竹料墟站 
2499,东晖路口站	1,竹料墟站 
2422,地铁厦滘站①	1,竹料墟站 
2419,地铁三元里(C2出口)站	1,竹料墟站 
2414,地铁江夏地铁站	1,竹料墟站 
2413,地铁江夏地铁站	1,竹料墟站 
2412,地铁黄村站	1,竹料墟站 
2408,地铁东晓南总站	1,竹料墟站 
2407,地铁东圃站总站	1,竹料墟站 
2399,邓家站	1,竹料墟站 
2398,邓岗站	1,竹料墟站 
2396,邓岗小区站	1,竹料墟站 
2144,赤岗路口站1	1,竹料墟站 
2142,赤岗大塘站	1,竹料墟站 
2140,赤岗村站	1,竹料墟站 
2132,城西花园总站	1,竹料墟站 
2127,成人教育出版社站	1,竹料墟站 
2126,成人教育出版社站	1,竹料墟站 
2112,陈边站	1,竹料墟站 
2101,车陂站	1,竹料墟站 
2100,车陂站	1,竹料墟站 
3025,广信中学站	1,竹料墟站 
3023,广新路站	1,竹料墟站 
1982,笔岗村站	1,竹料墟站 
2501,东辉广场站	1,竹料墟站 
1981,笔岗村站	1,竹料墟站 
1980,笔岗村委站	1,竹料墟站 
1979,笔岗村口站	1,竹料墟站 
1978,笔岗村口站	1,竹料墟站 
1977,笔村路口总站	1,竹料墟站 
1974,笔村立交南站	1,竹料墟站 
1972,笔村立交北站	1,竹料墟站 
1971,笔村立交北站	1,竹料墟站 
1970,笔村口站	1,竹料墟站 
1969,笔村口站	1,竹料墟站 
1966,北站社区站	1,竹料墟站 
1962,北园西路站	1,竹料墟站 
1961,北园西路站	1,竹料墟站 
1955,北山公园站	1,竹料墟站 
1949,北三路口站	1,竹料墟站 
1945,北较场路站	1,竹料墟站 
1944,北较场横路站	1,竹料墟站 
1942,北环路站	1,竹料墟站 
1936,北村闸站	1,竹料墟站 
1932,北村路站	1,竹料墟站 
1928,保税区南门站	1,竹料墟站 
1926,保沙路站	1,竹料墟站 
1925,保沙路站	1,竹料墟站 
